gcm_cluster,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
9733,19,15,92,1,0.0108695652173913,1,0,yes
9743,19,15,96,1,0.0104166666666666,0,1,yes
9753,19,10,83,1,0.0120481927710843,1,0,yes
9789,18,18,53,2,0.0377358490566037,0,2,yes
9815,18,12,73,1,0.0136986301369863,1,0,yes
9862,18,9,69,4,0.0579710144927536,4,0,yes
9890,18,13,48,1,0.0208333333333333,1,0,yes
9941,18,16,42,2,0.0476190476190476,0,2,yes
9962,18,16,88,1,0.0113636363636363,0,1,yes
9980,18,15,96,5,0.0520833333333333,5,0,yes
9982,18,14,91,3,0.0329670329670329,1,2,yes
9983,18,11,48,4,0.0833333333333333,3,1,yes
9984,18,12,112,1,0.0089285714285714,1,0,yes
10001,18,16,90,1,0.0111111111111111,1,0,yes
10045,18,8,96,1,0.0104166666666666,1,0,yes
10049,18,10,109,1,0.0091743119266055,1,0,yes
10056,18,8,41,3,0.073170731707317,3,0,yes
10095,18,7,80,5,0.0625,2,3,yes
10104,18,18,18,3,0.1666666666666666,1,2,yes
10126,18,12,38,1,0.0263157894736842,0,1,yes
10131,18,18,77,2,0.0259740259740259,1,1,yes
10169,17,8,37,1,0.027027027027027,1,0,yes
10171,17,16,72,2,0.0277777777777777,2,0,yes
10172,17,14,111,2,0.018018018018018,2,0,yes
10192,17,9,81,3,0.037037037037037,1,2,yes
10202,17,12,102,1,0.0098039215686274,1,0,yes
10218,17,11,98,3,0.0306122448979591,2,1,yes
10228,17,11,79,2,0.0253164556962025,1,1,yes
10300,17,11,94,1,0.0106382978723404,1,0,yes
10341,17,10,113,1,0.0088495575221238,1,0,yes
10363,17,9,102,1,0.0098039215686274,0,1,yes
10392,17,9,117,1,0.0085470085470085,0,1,yes
10407,17,11,79,1,0.0126582278481012,1,0,yes
10408,17,16,75,2,0.0266666666666666,1,1,yes
10410,17,9,40,1,0.025,0,1,yes
10438,17,8,97,1,0.0103092783505154,0,1,yes
10450,17,17,60,2,0.0333333333333333,1,1,yes
10458,17,14,115,1,0.008695652173913,1,0,yes
10487,17,12,80,2,0.025,1,1,yes
10496,17,17,66,1,0.0151515151515151,1,0,yes
10517,17,8,109,1,0.0091743119266055,0,1,yes
10540,17,17,47,1,0.0212765957446808,1,0,yes
10545,17,17,74,4,0.054054054054054,2,2,yes
10552,17,17,63,1,0.0158730158730158,1,0,yes
10560,17,14,72,1,0.0138888888888888,1,0,yes
10578,16,12,109,2,0.018348623853211,1,1,yes
10619,16,10,65,1,0.0153846153846153,1,0,yes
10631,16,10,90,1,0.0111111111111111,1,0,yes
10655,16,12,112,1,0.0089285714285714,0,1,yes
10659,16,16,21,3,0.1428571428571428,1,2,yes
10668,16,14,102,1,0.0098039215686274,1,0,yes
10675,16,13,71,1,0.0140845070422535,0,1,yes
10711,16,16,67,4,0.0597014925373134,2,2,yes
10718,16,11,49,3,0.0612244897959183,3,0,yes
10732,16,13,52,1,0.0192307692307692,1,0,yes
10737,16,15,26,2,0.0769230769230769,2,0,yes
10749,16,10,110,1,0.009090909090909,1,0,yes
10757,16,10,104,1,0.0096153846153846,1,0,yes
10768,16,15,109,1,0.0091743119266055,1,0,yes
10816,16,10,111,3,0.027027027027027,2,1,yes
10842,16,10,110,3,0.0272727272727272,1,2,yes
10864,16,8,117,1,0.0085470085470085,0,1,yes
10886,16,16,89,1,0.0112359550561797,1,0,yes
10903,16,10,40,1,0.025,1,0,yes
10906,16,16,28,1,0.0357142857142857,1,0,yes
10920,16,7,41,3,0.073170731707317,3,0,yes
10938,16,15,21,4,0.1904761904761904,1,3,yes
10961,16,14,101,5,0.0495049504950495,5,0,yes
10968,16,9,83,1,0.0120481927710843,0,1,yes
10986,16,16,107,2,0.0186915887850467,1,1,yes
